tweet,polaritas,sentimen
"['peternak', 'ayam', 'peternak', 'ayam', 'petelur', 'kabupaten', 'boyolali', 'jawa', 'mengeluhkan', 'harga', 'telur', 'anjlok', 'harga', 'pakan', 'terpaksa', 'menjual', 'ternak', 'ayamnya', 'biaya', 'operasional', 'terjangkau']",-15,Negatif
"['harga', 'telur', 'ayam', 'rendah', 'pedagang', 'berharap', 'lekas', 'normal']",3,Positif
"['nasi', 'putih', 'sepotong', 'telur', 'dadar', 'kuah', 'ayam', 'masak', 'merah', 'kuah', 'daging', 'salai', 'rm', 'soalannya', 'harga', 'sepotong', 'telur', 'dadar']",-2,Negatif
"['nampaknya', 'hujan', 'turun', 'turun', 'harga', 'telur']",6,Positif
"['milk', 'frother', 'hand', 'mixer', 'mini', 'elektric', 'whisk', 'pengocok', 'telur', 'elektrik', 'milkshake', 'kopi', 'harga', 'link']",0,Positif
"['acq', 'better', 'beater', 'pengocok', 'telur', 'adonan', 'otomatis', 'harga', 'link']",1,Positif
"['harga', 'telor', 'ayam', 'turun', 'yakaget', 'beli', 'telur', 'kg', 'ribu']",4,Positif
"['pempek', 'radial', 'asli', 'palembang', 'pempek', 'selem', 'telor', 'lenjer', 'adaan', 'lenjer', 'kulit', 'paketan', 'harga', 'terjangkau', 'minat', 'order', 'dm']",17,Positif
"['harga', 'telor', 'nurun']",3,Positif
"['beli', 'gok', 'ayam', 'dh', 'beras', 'ngn', 'telur', 'agiharga', 'nokharom']",0,Positif
"['bahagia', 'simpel', 'harga', 'telur', 'sekilo', 'murah', 'promo', 'margarin']",16,Positif
"['harga', 'telur', 'jeblok', 'peternak', 'ayam', 'petelur', 'boyolali', 'gulung', 'tikar']",-1,Negatif
"['guis', 'open', 'order', 'ekado', 'isian', 'telur', 'puyuh', 'dibalut', 'daging', 'ayam', 'isian', 'mozarella', 'harga', 'kpack', 'pcs', 'dom', 'malang', 'ongkos', 'kirim', 'via', 'orens', 'dm']",-3,Negatif
"['fess', 'open', 'order', 'ekado', 'isian', 'telur', 'puyuh', 'dibalut', 'daging', 'ayam', 'isian', 'mozarella', 'harga', 'kpack', 'pcs', 'dom', 'malang', 'pemesanan', 'dm']",-5,Negatif
"['gpmt', 'menghadiri', 'rapat', 'terkait', 'harga', 'pakan', 'telur', 'live', 'bird', 'diadakan', 'satgas', 'pangan', 'tanggal', 'september', 'virtual', 'zoom', 'meetings']",6,Positif
"['gila', 'harga', 'minyak', 'skrng', 'mahal', 'telur', 'tempatku']",4,Positif
"['rek', 'nasi', 'pecelnasi', 'campur', 'pakai', 'telor', 'utuh', 'harga', 'pict', 'murah', 'mahal', 'murah', 'rumahnya', 'wilayah', 'kota', 'datengin', 'kedai', 'singgah', 'makan', 'batok', 'raya', 'gratis', 'kopi', 'hitam', 'air', 'aqua']",17,Positif
"['harga', 'ayam', 'mencecah', 'rmkg', 'harga', 'minyak', 'masak', 'ari', 'mmg', 'dh', 'telur', 'sepapan', 'rm', 'crite', 'sikit', 'mcm', 'nak', 'simpan', 'harga', 'bareng', 'cekik', 'darah']",7,Positif
"['jual', 'telur', 'kampung', 'arab', 'harga', 'murah', 'area', 'prambanan', 'jogja', 'perpcs', 'dm']",7,Positif
"['id', 'harga', 'paket', 'nasi', 'goreng', 'parahyangan', 'beda', 'bangunkarta', 'taksaka', 'mahal', 'bangunkarta', 'pengemasan', 'cantik', 'bangunkarta', 'telor', 'sengaja', 'kesenjangan', 'sosial', 'kereta', 'jalan']",5,Positif
"['jakarta', 'oktober', 'kiriman', 'harga', 'telur', 'blitar', 'diterima', 'kota', 'dki', 'harga', 'rp', 'sekian', 'terimakasih']",14,Positif
"['bekasi', 'oktober', 'kiriman', 'harga', 'telur', 'blitar', 'diterima', 'kota', 'bekasi', 'harga', 'rp', 'sekian', 'terimakasih']",22,Positif
"['jagung', 'pakan', 'mahal', 'ehhhharga', 'telur', 'murah']",4,Positif
"['harga', 'telor', 'anjlok', 'jawa', 'kirim', 'jawa', 'harga', 'normal', 'mahal', 'cuaca', 'buruk', 'kapal', 'perintis']",0,Positif
"['new', 'post', 'harga', 'telur', 'murah', 'kerupuk', 'penjelasan', 'wamentan', 'harvick', 'has', 'been', 'published', 'baca', 'pesan']",14,Positif
"['harga', 'telur', 'anjlok', 'dompet', 'dhuafa', 'foz', 'gelar', 'aksi', 'gerakan', 'beli', 'telur', 'magetan']",9,Positif
"['nasi', 'balap', 'puyung', 'timur', 'pom', 'bensin', 'babarsari', 'harga', 'kelengkapan', 'menu', 'lombok', 'suwir', 'ayam', 'telur', 'kentang', 'mustofa', 'kacang', 'pakai', 'cocok']",9,Positif
"['malang', 'selatan', 'emang', 'ngebanting', 'banget', 'harga', 'telur', 'murah', 'sayur']",2,Positif
"['peternak', 'tolong', 'dibedakan', 'perusahaan', 'breeding', 'farm', 'bf', 'regulasi', 'batasan', 'telur', 'ditetaskan', 'telur', 'infertil', 'telur', 'sengaja', 'ditetaskan', 'harga', 'doc', 'murah', 'batas', 'cutting', 'kenyataannya', 'tembus', 'kemana']",1,Positif
"['sekjen', 'ahmad', 'muzani', 'pemerintah', 'menurunkan', 'harga', 'telur', 'gerindra', 'gerindrareses', 'tetapkerja', 'darirakyat', 'kerjautkrakyat', 'indonesiaraya', 'utkrakyat']",-4,Negatif
"['pemerintah', 'turun', 'tangan', 'harga', 'telur', 'ayam', 'anjlok', 'gerindra', 'gerindrareses', 'tetapkerja', 'darirakyat', 'kerjautkrakyat', 'indonesiaraya', 'utkrakyat']",-3,Negatif
"['harga', 'telur', 'anjlok', 'pemerintah', 'bantu', 'peternak', 'gerindra', 'gerindrareses', 'tetapkerja', 'darirakyat', 'kerjautkrakyat', 'indonesiaraya', 'utkrakyat']",0,Positif
"['ku', 'duga', 'pecah', 'telor', 'lazada', 'sm', 'seventeen', 'semoga', 'printilan', 'harga', 'murmerrr', 'pas', 'name', 'seventeen', 'lazada', 'happiness', 'ambassadors']",8,Positif
"['diitung', 'sedetail', 'harga', 'beras', 'kepake', 'nasi', 'harga', 'nori', 'harga', 'sosis', 'telor', 'dan', 'lain-lain', 'pokoknya', 'bahannya', 'minyak', 'bumbu', 'dapur', 'gas', 'hitung', 'nentuin', 'harganya']",8,Positif
"['carlos', 'harga', 'telor', 'kaleee']",3,Positif
"['know', 'pegang', 'kandang', 'yak', 'harga', 'telur', 'hancur', 'berpengaruh', 'pendapatan', 'digaji']",5,Positif
"['skali', 'prlu', 'main', 'daerah', 'kaget', 'nemu', 'bakso', 'isi', 'telur', 'harga', 'nasi', 'rames', 'pecel']",10,Positif
"['harga', 'sembilan', 'bahan', 'pokok', 'ibuibu', 'harga', 'telur', 'rp', 'kg', 'cabai', 'rawit', 'hijau', 'turun', 'rp']",10,Positif
"['ktnya', 'harga', 'telor', 'jatuh', 'tingkat', 'peternak']",5,Positif
"['harga', 'telur', 'murah', 'harga', 'kerupuk', 'penjelasan', 'wamentan', 'marufamin']",12,Positif
"['nderharga', 'telor', 'titik', 'terendah', 'jual', 'kmrin']",-7,Negatif
"['harga', 'jual', 'telur', 'membaik', 'curahan', 'hati', 'peternak', 'terancam', 'bangkrut']",-6,Negatif
"['yang', 'lain', 'kabar', 'harga', 'telur', 'kabar', 'peternaknya']",-2,Negatif
"['rri', 'selslu', 'menyisrkan', 'harga', 'telur', 'turun', 'harga', 'kacang', 'kejepit']",3,Positif
"['harga', 'telur', 'anjlok', 'ketua', 'golkar', 'jatim', 'pabrik', 'pakan', 'peternak']",-1,Negatif
"['pempek', 'radial', 'asli', 'palembang', 'pempek', 'selem', 'telor', 'lenjer', 'adaan', 'lenjer', 'kulit', 'paketan', 'harga', 'terjangkau', 'minat', 'order', 'dm']",17,Positif
"['maaf', 'salfok', 'dom', 'telur', 'ngebanting', 'banget', 'beli', 'peti', 'harga', 'perkilo', 'which', 'means', 'sebutir', 'seribu']",8,Positif
"['telur', 'diginiin', 'berasa', 'makan', 'makanan', 'mewah', 'rasanyaa', 'sedih', 'beli', 'telor', 'mbak', 'jual', 'harga', 'telur', 'mahal', 'adik', 'kasih', 'bonusan']",7,Positif
"['harga', 'telur', 'anjlok', 'industri', 'olahan', 'diyakini', 'solusi']",5,Positif
"['hukum', 'equilibrium', 'supply', 'demand', 'senatural', 'pengaruh', 'hatching', 'egg', 'hetelur', 'tetasan', 'bibit', 'melonjakkan', 'angka', 'supply', 'konsekuensinya', 'harga', 'turun', 'idealnya', 'kelebihan', 'dihancurkan', 'prakteknya', 'perush', 'breeding']",3,Positif
"['telur', 'asin', 'alamat', 'tujuanharga', 'magersari']",0,Positif
"['harga', 'telor', 'turun', 'rbkg']",4,Positif
"['fess', 'favorit', 'banget', 'basgor', 'jaman', 'tk', 'harga', 'tusuknya', 'perak', 'beli', 'tusuk', 'plus', 'digoreng', 'campur', 'telur', 'syedaaap', 'hiks', 'kangen', 'terkhir', 'beli', 'skitar']",10,Positif
"['monggo', 'beli', 'dibeli', 'bantu', 'teman', 'sate', 'telur', 'harga', 'ribuan', 'jasuke', 'jagung', 'susu', 'keju', 'jagung', 'serut', 'harga', 'ribuan', 'masanas', 'ofline', 'online', 'lokasi', 'bilyard', 'sebelah', 'ayam', 'nelongso', 'klojen', 'stasiun', 'kotabaru', 'kota', 'madya', 'malang']",2,Positif
"['emang', 'cocok', 'lidah', 'makanmakanan', 'model', 'ginian', 'mie', 'instan', 'make', 'telor', 'harga', 'mati']",14,Positif
"['ppkm', 'kemarin', 'harga', 'telur', 'anjlok', 'banget', 'papannya', 'isi', 'butir', 'harga', 'dulunya', 'alias', 'seribu', 'sebutir']",5,Positif
"['ri', 'tolong', 'kebijan', 'menstabilkan', 'harga', 'telur', 'harga', 'pakan', 'tolong', 'dengarkan', 'suara', 'suara', 'butuhkan', 'pemilihan', 'sibuk', 'memperkaya']",20,Positif
"['dipikirpikir', 'ngedoain', 'lebih', 'baik', 'doa', 'harga', 'telur', 'normal']",12,Positif
"['fess', 'open', 'order', 'ekado', 'isian', 'telur', 'puyuh', 'dibalut', 'daging', 'ayam', 'isian', 'mozarella', 'harga', 'kpack', 'pcs', 'dom', 'malang', 'pemesanan', 'dm']",-5,Negatif
"['guis', 'open', 'order', 'ekado', 'isian', 'telur', 'puyuh', 'dibalut', 'daging', 'ayam', 'isian', 'mozarella', 'harga', 'kpack', 'pcs', 'dom', 'malang', 'ongkos', 'kirim', 'via', 'orens', 'dm']",-3,Negatif
"['presiden', 'jokowi', 'menteri', 'sya', 'gejolak', 'harga', 'telurdaging', 'ayam', 'berulang', 'akar', 'dibongkar', 'over', 'produksi', 'regulasi', 'timpang', 'batasi', 'integrator', 'rantai', 'dinginekspor', 'peternak', 'rantai', 'segar']",-5,Negatif
"['nasi', 'kuning', 'namribu', 'nasi', 'kuning', 'pakai', 'telor', 'sepuluribu', 'harga', 'telor', 'bandung', 'patribu', 'itb']",-2,Negatif
"['dirumahku', 'duduk', 'pintu', 'gamau', 'heran', 'dengannya', 'bunga', 'telur', 'padahl', 'rock', 'jalanan', 'versi', 'apapun', 'berhak', 'harga', 'pintu', 'jalanan', 'dirumah', 'minum', 'capek', 'terima', 'kasih', 'video', 'didepan', 'duduk']",8,Positif
"['iwan', 'kebanyakan', 'telur', 'dipasaran', 'akn', 'diserap', 'kebutuhan', 'libur', 'natal', 'sambung', 'perayaan', 'imlek', 'harga', 'telur', 'dikisaran', 'ribu', 'kg', 'peternak', 'kampung', 'bertahan', 'pandemi', 'kambuh']",5,Positif
"['derita', 'peternak', 'ayam', 'petelur', 'pakan', 'mahal', 'harga', 'telur', 'anjlok']",-7,Negatif
"['ali', 'pelaku', 'usaha', 'integrasi', 'menguasai', 'ayam', 'petelur', 'mencapai', 'persen', 'nasional', 'pasokan', 'telur', 'berlebih', 'menyebabkan', 'harga', 'telur', 'anjlok', 'september', 'peternak']",7,Positif
"['ratusan', 'peternak', 'jawa', 'jawa', 'timur', 'berunjukrasa', 'gedung', 'dpr', 'jakarta', 'massa', 'peternak', 'menuntut', 'pemerintah', 'solusi', 'terkait', 'anjloknya', 'harga', 'telur', 'ayam', 'ksc']",-8,Negatif
"['pasokan', 'berlebih', 'produsen', 'harga', 'telur', 'anjlok', 'pasaran', 'selengkapnya']",-2,Negatif
"['peternak', 'ayam', 'petelur', 'klaten', 'babak', 'belur', 'harga', 'komoditas', 'jagung', 'pakan', 'pendamping', 'meroket', 'sialnya', 'harga', 'telur', 'pasaran', 'harga', 'pokok', 'produksi', 'hpp', 'dampaknya', 'pelaku', 'usaha', 'ayam', 'petelur', 'gulung', 'tikar']",-1,Negatif
"['ri', 'hehehehe', 'pas', 'bingung', 'harga', 'minyak', 'mahal', 'iseng', 'alfa', 'pas', 'promo', 'hrg', 'minyak', 'heran', 'hrg', 'minyak', 'melambung', 'disaat', 'hrg', 'telor', 'anjlok']",10,Positif
"['peternak', 'harga', 'telur', 'rp', 'kg']",3,Positif
"['harga', 'rendah', 'peternak', 'ayam', 'babak', 'belur', 'pemerintah', 'borong', 'seribu', 'ton', 'telur']",-8,Negatif
"['jelang', 'maulid', 'nabi', 'harga', 'telur', 'ayam', 'ras', 'merangkak', 'wilayah']",3,Positif
"['pempek', 'radial', 'asli', 'palembang', 'pempek', 'selem', 'telor', 'lenjer', 'adaan', 'lenjer', 'kulit', 'paketan', 'harga', 'terjangkau', 'minat', 'order', 'dm']",17,Positif
"['ngambing', 'hitamkan', 'harga', 'telur', 'emang', 'nyaman', 'teman', 'kknnya', 'dibanding']",8,Positif
"['ynwa', 'bang', 'modal', 'trbatas', 'jalanin', 'stik', 'balado', 'telur', 'gabus', 'stik', 'bawang', 'balado', 'jagung', 'manis', 'berat', 'gede', 'rasa', 'harga', 'ribu']",12,Positif
"['nasi', 'bebsambal', 'bykmaybe', 'nampaktimun', 'tebalbukan', 'nipis', 'kertastelur', 'sgtpadanlah', 'hargakl', 'rm', 'telur', 'halusssss']",2,Positif
"['dekatku', 'kafe', 'indomie', 'goreng', 'telur', 'harga', 'kafe', 'tipe', 'warmindo']",-3,Negatif
"['harga', 'lauk', 'telur', 'mahal', 'lauk', 'babat']",4,Positif
"['spaghetti', 'gede', 'rasa', 'harga', 'porsi', 'anak', 'dibikin', 'aglio', 'olio', 'bumbuhya', 'garlic', 'pepper', 'salt', 'celery', 'oregano', 'telur', 'murah', 'pengen', 'praktis']",14,Positif
"['new', 'post', 'cabai', 'merah', 'harga', 'telur', 'anjlok', 'has', 'been', 'published', 'baca', 'pesan']",8,Positif
"['harga', 'ayam', 'telur', 'ancuran', 'gini']",1,Positif
"['peternak', 'babak', 'belur', 'balada', 'harga', 'telur', 'temui', 'titik', 'terang']",0,Positif
"['ngobrol', 'membahas', 'anjloknya', 'harga', 'telur', 'dinosaurus']",1,Positif
"['harga', 'telur', 'bandar', 'lampung', 'anjlok']",-5,Negatif
"['harga', 'telur', 'pasar', 'bandar', 'lampung', 'mengalami', 'penurunan', 'rp', 'kilogram', 'pedagang', 'harga', 'telur', 'turun']",1,Positif
"['cabai', 'merah', 'merangkak', 'pasar', 'dki', 'jakarta', 'harga', 'telur', 'anjlok']",0,Positif
"['harga', 'emg', 'harga', 'telur', 'turun', 'biaya', 'pakan', 'nutup', 'biaya', 'pakan', 'mampus']",-3,Negatif
"['harga', 'telur', 'anjlok', 'riza', 'prihatin', 'nasib', 'peternak', 'via', 'coid', 'kda']",-1,Negatif
"['tuntut', 'stabilkan', 'harga', 'telur', 'peternak', 'daerah', 'demo', 'dpr', 'ri', 'selengkapnya']",1,Positif
"['telor', 'gulung', 'enakan', 'beli', 'gulungannya', 'tipisya', 'tidak', 'apa-apa', 'wajar', 'harga']",16,Positif
"['peternak', 'unggas', 'demo', 'diharapkan', 'harga', 'ayam', 'hidup', 'telur', 'sesuai', 'acuan', 'pemerintah']",0,Positif
"['harga', 'telur', 'ayam', 'pasaran', 'turun', 'peternak', 'babak', 'belur', 'turun', 'jalan', 'aksi', 'jakarta']",1,Positif
"['samara', 'mobil', 'van', 'tua', 'dipakai', 'penyedia', 'jasa', 'pengusir', 'hama', 'hasil', 'sewaan', 'reyhan', 'mengeluh', 'harga', 'bawel', 'banget', 'sumpah', 'seru', 'samara', 'kebanyakan', 'makan', 'nasi', 'telor', 'padang']",10,Positif
"['harga', 'telur', 'anjlok', 'peternakmahasiswa', 'aksi', 'damai', 'pemerintah', 'serap', 'seribu', 'ton']",-1,Negatif
"['harga', 'telur', 'ayam', 'pasaran', 'turun', 'peternak', 'babak', 'belur', 'turun', 'jalan', 'aksi', 'jakarta']",1,Positif
"['juboharga', 'ayam', 'telur', 'pn', 'xblh', 'kawal', 'harga', 'ayam', 'thai', 'jugak', 'kekal', 'pkp']",3,Positif
"['komoditas', 'mengalami', 'penurunan', 'harga', 'telur', 'ayam', 'broiler', 'cabe', 'merah', 'keriting', 'cabe', 'merah', 'cabe', 'rawit', 'hijau', 'cabe', 'rawit', 'merah']",6,Positif
"['stabilkan', 'hukum', 'ekonomi', 'akn', 'berlaku', 'peternak', 'dadakan', 'mati', 'ayam', 'berkurang', 'mk', 'kebutuhan', 'pakan', 'berkurang', 'harga', 'pakan', 'turun', 'daging', 'ayam', 'telur', 'berkurang', 'kebutuhan', 'mk', 'harga', 'daging', 'telur', 'stabil']",11,Positif
"['semalam', 'beli', 'goreng', 'telur', 'rebus', 'paru', 'rm', 'beli', 'rm', 'perniaga', 'suka', 'suka', 'hati', 'hati', 'letak', 'harga', 'ye']",17,Positif
"['segar', 'diproduksi', 'peternak', 'ayam', 'dibiarkan', 'mati', 'pakan', 'idem', 'peternaknya', 'rugi', 'pakan', 'mk', 'harga', 'pakan', 'stabil', 'harga', 'sesuai', 'kebutuhan', 'suplai', 'suplai', 'kebutuhan', 'daging', 'telur']",24,Positif
"['panik', 'harga', 'telur', 'murah', 'tanda', 'sembilan', 'bahan', 'pokok', 'naikpikiran', 'sarapan', 'pagi', 'nasi', 'padang', 'harga', 'ribu', 'lagitrus', 'gorengan', 'ribu', 'bonus']",14,Positif
"['harga', 'telor', 'rendah', 'harga', 'daging']",-1,Negatif
"['beternak', 'mk', 'kebutuhan', 'pakan', 'meningkat', 'sdgkan', 'kebutuhan', 'daging', 'telur', 'meningkat', 'perayaan', 'keagamaan', 'menyerap', 'daging', 'telur', 'dibatasi', 'wajar', 'harga', 'pakan', 'ternak', 'ayam', 'sdgkan', 'harga', 'daging', 'telur']",2,Positif
"['negarapemerintah', 'hadir', 'harga', 'telur', 'hasil', 'produksi', 'jatuh', 'harga', 'ditetapkan', 'pemerintah', 'kh', 'anwar', 'abbas']",13,Positif
"['padang', 'masi', 'dapetin', 'nasi', 'goreng', 'harga', 'pakai', 'telur', 'mie', 'goreng']",7,Positif
"['harga', 'telur', 'ayam', 'pasaran', 'turun', 'peternak', 'babak', 'belur', 'turun', 'jalan', 'aksi', 'jakarta']",1,Positif
"['perjuangan', 'rekanrekan', 'peternak', 'ayam', 'layer', 'selasa', 'oktober', 'harga', 'telur', 'angka', 'rbkg', 'tingkat', 'peternak', 'turunkan', 'harga', 'pakan', 'naikan', 'harga', 'telur']",12,Positif
"['ratusan', 'peternak', 'beserta', 'bem', 'universitas', 'menggelar', 'aksi', 'damai', 'lokasi', 'menuntut', 'kenaikan', 'harga', 'telur', 'seiring', 'harga', 'telur', 'kian', 'anjlok', 'tingkat', 'peternak']",7,Positif
"['harga', 'telur', 'turun', 'sosis', 'harga', 'susu', 'turun', 'kadrun', 'konotasinya', 'lgs', 'selangkangan', 'harga', 'telur', 'ayam', 'pasaran', 'turun', 'peternak', 'babak', 'belur', 'turun', 'jalan', 'aksi', 'jakarta']",2,Positif
"['harga', 'turun', 'salah', 'satunya', 'barang', 'mudah', 'jual', 'titik', 'terang', 'balada', 'harga', 'telur', 'peternak', 'babak', 'belur']",6,Positif
