tweet,polaritas,sentimen
"['borong', 'telur', 'harga', 'normal', 'borong', 'telurtelur', 'bagi', 'santrisantri', 'pondok', 'bagi', 'keluarga', 'pra', 'sejahtera', 'bantu', 'jaga', 'harap', 'ternak', 'klik']",22,Positif
"['dongkrak', 'harga', 'diri', 'di', 'atas', 'kaki', 'sendiri', 'serap', 'telur', 'ternak']",-5,Negatif
"['serap', 'telur', 'laksana', 'tahap', 'dongkrak', 'harga', 'beli', 'tingkat', 'ternak', 'sesuai', 'harga', 'acu', 'beli', 'hap']",10,Positif
"['gim', 'harga', 'telor', 'buln', 'bwah', 'hpp', 'ternak', 'rakyat']",3,Positif
"['efek', 'harga', 'minyak', 'goreng', 'lambung', 'martabak', 'telor', 'langgan', 'ambyar', 'garagara', 'pakai', 'minyak', 'abalabal']",11,Positif
"['telur', 'ayam', 'murah', 'banget', 'hikz', 'kasihan', 'saudara', 'pusing', 'harga', 'anjlok']",1,Positif
"['tengah', 'harga', 'telor', 'ayam', 'tingkat', 'tani', 'sahabat', 'koperasi', 'lumbungbumi', 'sejahtera', 'fasilitas', 'hubung', 'ternak', 'industri', 'pasar', 'telor', 'sehat', 'vaksin', 'obat', 'kimia', 'sintetis']",15,Positif
"['capek', 'tenaga', 'capek', 'pikir', 'untung', 'alami', 'usaha', 'ayam', 'telur', 'hajar', 'harga', 'murah', 'minus', 'hari', 'tambah', 'konflik', 'tetangga', 'salah', 'im', 'quit']",6,Positif
"['harga', 'telur', 'turun', 'hasil', 'ramai', 'beli', 'telur', 'minggu', 'beli', 'papan', 'telur', 'campur', 'telur', 'elok', 'telur', 'busuk']",14,Positif
"['harga', 'telur', 'pacitan', 'anjlok', 'ternak', 'kelimpungan']",-1,Negatif
"['anjlok', 'harga', 'telur', 'ayam', 'angsur', 'normal']",-1,Negatif
"['anjlok', 'harga', 'telur', 'ayam', 'angsur', 'normal']",-1,Negatif
"['pantesan', 'harga', 'telur', 'murah', 'biang', 'keladi']",1,Positif
"['produk', 'sinar', 'multi', 'satwa', 'bantu', 'proses', 'pematang', 'telur', 'sperma', 'induk', 'dapat', 'produk', 'tawar', 'harga', 'baik', 'minapoli', 'beli']",12,Positif
"['nasi', 'padang', 'benerbener', 'pakai', 'telor', 'pakai', 'ikan', 'kepala', 'kakap', 'ayam', 'topping', 'harga', 'tetep', 'gede']",5,Positif
"['informasi', 'bbrp', 'harga', 'sembilan', 'bahan', 'pokok', 'baput', 'kating', 'kg', 'bamer', 'pb', 'kg', 'pakcoy', 'kg', 'cabai', 'rawit', 'kg', 'terong', 'kg', 'timun', 'kg', 'caisim', 'kg', 'oyong', 'kg', 'telur', 'kg', 'informasi', 'dm', 'surabayasidoarjo']",3,Positif
"['sebab', 'harga', 'telur', 'ayam', 'turun']",5,Positif
"['ternak', 'tengah', 'jerit', 'akibat', 'pakan', 'mahal', 'harga', 'telur', 'anjlok']",0,Positif
"['pa', 'tawar', 'nasi', 'box', 'giat', 'bagi', 'besok', 'kenan', 'order', 'harga', 'ribu', 'menu', 'nasi', 'uduk', 'telor', 'rebus', 'bihun', 'orek', 'tempekrupuk', 'sambel', 'maaf', 'ganggu', 'jbjb']",-2,Negatif
"['produksi', 'tingkat', 'pandemi', 'harga', 'telur', 'anjlok']",-5,Negatif
"['komoditas', 'alami', 'turun', 'harga', 'telur', 'ayam', 'broiler']",-1,Negatif
"['kedai', 'only', 'rumah', 'delivery', 'fee', 'rm', 'roti', 'telur', 'rm', 'harga', 'malas', 'harga', 'kapitalis']",6,Positif
"['pempek', 'radial', 'asli', 'palembang', 'pempek', 'lem', 'telor', 'lenjer', 'ada', 'lenjer', 'kulit', 'paket', 'harga', 'jangkau', 'minat', 'order', 'dm']",17,Positif
"['gonjangganjing', 'telur', 'ayam', 'selesai', 'ternak', 'fasilitas', 'harga', 'jagung', 'rp', 'kg', 'selesai', 'akar', 'masalah', 'baca', 'artikel', 'suara', 'merdeka', 'ironi', 'telur', 'jagung']",4,Positif
"['ternak', 'demo', 'harga', 'ayam', 'telur', 'tan', 'pasti', 'ricuh']",4,Positif
"['kosambi', 'oktober', 'kirim', 'harga', 'telur', 'blitar', 'terima', 'kota', 'kosambi', 'harga', 'rp', 'sekian', 'terimakasih']",14,Positif
"['harga', 'telur', 'gulung']",3,Positif
"['harga', 'telur', 'gulung']",3,Positif
"['harga', 'telor', 'daging', 'ayam', 'turunkok', 'harga', 'benang', 'kurun', 'minggu', 'gaezzwat']",2,Positif
"['lupa', 'bayar', 'sekolah', 'uang', 'buku', 'uang', 'seragam', 'uang', 'study', 'ongkos', 'nilai', 'anak', 'jelek', 'harga', 'bawang', 'harga', 'telor', 'lambung', 'remeh', 'temeh', 'kadang', 'rumah', 'asa', 'medan', 'perang', 'tegang', 'bossss']",25,Positif
"['distributor', 'telor', 'ayam', 'harga', 'bagus', 'kirim', 'jabodetabek', 'jabodetabek']",5,Positif
"['tan', 'ricuh', 'demo', 'ternak', 'unggas', 'mandiri', 'kait', 'harga', 'jual', 'ayam', 'telur', 'anjlok', 'harga', 'produksi']",-1,Negatif
"['ternak', 'ayam', 'ternak', 'ayam', 'telur', 'kabupaten', 'boyolali', 'jawa', 'keluh', 'harga', 'telur', 'anjlok', 'harga', 'pakan', 'paksa', 'jual', 'ternak', 'ayam', 'biaya', 'operasional', 'jangkau']",-9,Negatif
"['harga', 'telur', 'ayam', 'rendah', 'dagang', 'harap', 'lekas', 'normal']",2,Positif
"['nasi', 'putih', 'potong', 'telur', 'dadar', 'kuah', 'ayam', 'masak', 'merah', 'kuah', 'daging', 'salai', 'rm', 'soal', 'harga', 'potong', 'telur', 'dadar']",-2,Negatif
"['milk', 'frother', 'hand', 'mixer', 'mini', 'elektric', 'whisk', 'kocok', 'telur', 'elektrik', 'milkshake', 'kopi', 'harga', 'link']",0,Positif
"['acq', 'better', 'beater', 'kocok', 'telur', 'adon', 'otomatis', 'harga', 'link']",1,Positif
"['pempek', 'radial', 'asli', 'palembang', 'pempek', 'lem', 'telor', 'lenjer', 'ada', 'lenjer', 'kulit', 'paket', 'harga', 'jangkau', 'minat', 'order', 'dm']",17,Positif
"['harga', 'telor', 'nurun']",3,Positif
"['beli', 'gok', 'ayam', 'dh', 'beras', 'ngn', 'telur', 'agiharga', 'nokharom']",0,Positif
"['bahagia', 'simpel', 'harga', 'telur', 'kilo', 'murah', 'promo', 'margarin']",16,Positif
"['harga', 'telur', 'jeblok', 'ternak', 'ayam', 'telur', 'boyolali', 'gulung', 'tikar']",-1,Negatif
"['guis', 'open', 'order', 'ekado', 'isi', 'telur', 'puyuh', 'balut', 'daging', 'ayam', 'isi', 'mozarella', 'harga', 'kpack', 'pcs', 'dom', 'malang', 'ongkos', 'kirim', 'via', 'orens', 'dm']",-3,Negatif
"['fess', 'open', 'order', 'ekado', 'isi', 'telur', 'puyuh', 'balut', 'daging', 'ayam', 'isi', 'mozarella', 'harga', 'kpack', 'pcs', 'dom', 'malang', 'mesan', 'dm']",-5,Negatif
"['gpmt', 'hadir', 'rapat', 'kait', 'harga', 'pakan', 'telur', 'live', 'bird', 'ada', 'satgas', 'pangan', 'tanggal', 'september', 'virtual', 'zoom', 'meetings']",10,Positif
"['gila', 'harga', 'minyak', 'skrng', 'mahal', 'telur', 'tempat']",4,Positif
"['rek', 'nasi', 'pecelnasi', 'campur', 'pakai', 'telor', 'utuh', 'harga', 'pict', 'murah', 'mahal', 'murah', 'rumah', 'wilayah', 'kota', 'datengin', 'kedai', 'singgah', 'makan', 'batok', 'raya', 'gratis', 'kopi', 'hitam', 'air', 'aqua']",17,Positif
"['harga', 'ayam', 'cecah', 'rmkg', 'harga', 'minyak', 'masak', 'ari', 'mmg', 'dh', 'telur', 'papan', 'rm', 'crite', 'sikit', 'mcm', 'nak', 'simpan', 'harga', 'bareng', 'cekik', 'darah']",10,Positif
"['jual', 'telur', 'kampung', 'arab', 'harga', 'murah', 'area', 'prambanan', 'jogja', 'perpcs', 'dm']",7,Positif
"['id', 'harga', 'paket', 'nasi', 'goreng', 'parahyangan', 'beda', 'bangunkarta', 'taksaka', 'mahal', 'bangunkarta', 'emas', 'cantik', 'bangunkarta', 'telor', 'sengaja', 'senjang', 'sosial', 'kereta', 'jalan']",10,Positif
"['jakarta', 'oktober', 'kirim', 'harga', 'telur', 'blitar', 'terima', 'kota', 'dki', 'harga', 'rp', 'sekian', 'terimakasih']",14,Positif
"['bekas', 'oktober', 'kirim', 'harga', 'telur', 'blitar', 'terima', 'kota', 'bekas', 'harga', 'rp', 'sekian', 'terimakasih']",22,Positif
"['jagung', 'pakan', 'mahal', 'ehhhharga', 'telur', 'murah']",4,Positif
"['harga', 'telor', 'anjlok', 'jawa', 'kirim', 'jawa', 'harga', 'normal', 'mahal', 'cuaca', 'buruk', 'kapal', 'rintis']",0,Positif
"['new', 'post', 'harga', 'telur', 'murah', 'kerupuk', 'jelas', 'wamentan', 'harvick', 'has', 'been', 'published', 'baca', 'pesan']",12,Positif
"['harga', 'telur', 'anjlok', 'dompet', 'dhuafa', 'foz', 'gelar', 'aksi', 'gera', 'beli', 'telur', 'magetan']",5,Positif
"['nasi', 'balap', 'puyung', 'timur', 'pom', 'bensin', 'babarsari', 'harga', 'lengkap', 'menu', 'lombok', 'suwir', 'ayam', 'telur', 'kentang', 'mustofa', 'kacang', 'pakai', 'cocok']",9,Positif
"['malang', 'selatan', 'emang', 'ngebanting', 'banget', 'harga', 'telur', 'murah', 'sayur']",2,Positif
"['ternak', 'tolong', 'beda', 'usaha', 'breeding', 'farm', 'bf', 'regulasi', 'batas', 'telur', 'tetas', 'telur', 'infertil', 'telur', 'sengaja', 'tetas', 'harga', 'doc', 'murah', 'batas', 'cutting', 'nyata', 'tembus', 'mana']",-1,Negatif
"['sekjen', 'ahmad', 'muzani', 'perintah', 'turun', 'harga', 'telur', 'gerindra', 'gerindrareses', 'tetapkerja', 'darirakyat', 'kerjautkrakyat', 'indonesiaraya', 'utkrakyat']",2,Positif
"['perintah', 'turun', 'tangan', 'harga', 'telur', 'ayam', 'anjlok', 'gerindra', 'gerindrareses', 'tetapkerja', 'darirakyat', 'kerjautkrakyat', 'indonesiaraya', 'utkrakyat']",-3,Negatif
"['harga', 'telur', 'anjlok', 'perintah', 'bantu', 'ternak', 'gerindra', 'gerindrareses', 'tetapkerja', 'darirakyat', 'kerjautkrakyat', 'indonesiaraya', 'utkrakyat']",0,Positif
"['ku', 'duga', 'pecah', 'telor', 'lazada', 'sm', 'seventeen', 'moga', 'printilan', 'harga', 'murmerrr', 'pas', 'name', 'seventeen', 'lazada', 'happiness', 'ambassadors']",8,Positif
"['diitung', 'detail', 'harga', 'beras', 'kepake', 'nasi', 'harga', 'nori', 'harga', 'sosis', 'telor', 'dan', 'lain', 'pokok', 'bahan', 'minyak', 'bumbu', 'dapur', 'gas', 'hitung', 'nentuin', 'harga']",14,Positif
"['know', 'pegang', 'kandang', 'yak', 'harga', 'telur', 'hancur', 'pengaruh', 'dapat', 'gaji']",5,Positif
"['skali', 'prlu', 'main', 'daerah', 'kaget', 'nemu', 'bakso', 'isi', 'telur', 'harga', 'nasi', 'rames', 'pecel']",10,Positif
"['harga', 'sembilan', 'bahan', 'pokok', 'ibuibu', 'harga', 'telur', 'rp', 'kg', 'cabai', 'rawit', 'hijau', 'turun', 'rp']",10,Positif
"['ktnya', 'harga', 'telor', 'jatuh', 'tingkat', 'ternak']",5,Positif
"['harga', 'telur', 'murah', 'harga', 'kerupuk', 'jelas', 'wamentan', 'marufamin']",10,Positif
"['nderharga', 'telor', 'titik', 'rendah', 'jual', 'kmrin']",-7,Negatif
"['harga', 'jual', 'telur', 'baik', 'curah', 'hati', 'ternak', 'ancam', 'bangkrut']",0,Positif
"['yang', 'lain', 'kabar', 'harga', 'telur', 'kabar', 'ternak']",-2,Negatif
"['rri', 'selslu', 'menyisrkan', 'harga', 'telur', 'turun', 'harga', 'kacang', 'jepit']",3,Positif
"['harga', 'telur', 'anjlok', 'ketua', 'golkar', 'jatim', 'pabrik', 'pakan', 'ternak']",-1,Negatif
"['pempek', 'radial', 'asli', 'palembang', 'pempek', 'lem', 'telor', 'lenjer', 'ada', 'lenjer', 'kulit', 'paket', 'harga', 'jangkau', 'minat', 'order', 'dm']",17,Positif
"['maaf', 'salfok', 'dom', 'telur', 'ngebanting', 'banget', 'beli', 'peti', 'harga', 'kilo', 'which', 'means', 'butir', 'ribu']",8,Positif
"['telur', 'diginiin', 'asa', 'makan', 'makan', 'mewah', 'rasanyaa', 'sedih', 'beli', 'telor', 'mbak', 'jual', 'harga', 'telur', 'mahal', 'adik', 'kasih', 'bonus']",10,Positif
"['harga', 'telur', 'anjlok', 'industri', 'olah', 'yakin', 'solusi']",5,Positif
"['hukum', 'equilibrium', 'supply', 'demand', 'natural', 'pengaruh', 'hatching', 'egg', 'hetelur', 'tetas', 'bibit', 'lonjak', 'angka', 'supply', 'konsekuensi', 'harga', 'turun', 'ideal', 'lebih', 'hancur', 'praktek', 'perush', 'breeding']",7,Positif
"['telur', 'asin', 'alamat', 'tujuanharga', 'magersari']",0,Positif
"['harga', 'telor', 'turun', 'rbkg']",4,Positif
"['fess', 'favorit', 'banget', 'basgor', 'jaman', 'tk', 'harga', 'tusuk', 'perak', 'beli', 'tusuk', 'plus', 'goreng', 'campur', 'telur', 'syedaaap', 'hiks', 'kangen', 'terkhir', 'beli', 'skitar']",10,Positif
"['emang', 'cocok', 'lidah', 'makanmakanan', 'model', 'ginian', 'mie', 'instan', 'make', 'telor', 'harga', 'mati']",14,Positif
"['ppkm', 'kemarin', 'harga', 'telur', 'anjlok', 'banget', 'papan', 'isi', 'butir', 'harga', 'dulunya', 'alias', 'ribu', 'butir']",5,Positif
"['ri', 'tolong', 'bijan', 'stabil', 'harga', 'telur', 'harga', 'pakan', 'tolong', 'dengar', 'suara', 'suara', 'butuh', 'pilih', 'sibuk', 'kaya']",20,Positif
"['dipikirpikir', 'ngedoain', 'lebih', 'baik', 'doa', 'harga', 'telur', 'normal']",12,Positif
"['fess', 'open', 'order', 'ekado', 'isi', 'telur', 'puyuh', 'balut', 'daging', 'ayam', 'isi', 'mozarella', 'harga', 'kpack', 'pcs', 'dom', 'malang', 'mesan', 'dm']",-5,Negatif
"['guis', 'open', 'order', 'ekado', 'isi', 'telur', 'puyuh', 'balut', 'daging', 'ayam', 'isi', 'mozarella', 'harga', 'kpack', 'pcs', 'dom', 'malang', 'ongkos', 'kirim', 'via', 'orens', 'dm']",-3,Negatif
"['presiden', 'jokowi', 'menteri', 'sya', 'gejolak', 'harga', 'telurdaging', 'ayam', 'ulang', 'akar', 'bongkar', 'over', 'produksi', 'regulasi', 'timpang', 'batas', 'integrator', 'rantai', 'dinginekspor', 'ternak', 'rantai', 'segar']",-5,Negatif
"['nasi', 'kuning', 'namribu', 'nasi', 'kuning', 'pakai', 'telor', 'sepuluribu', 'harga', 'telor', 'bandung', 'patribu', 'itb']",-2,Negatif
"['rumah', 'duduk', 'pintu', 'gamau', 'heran', 'dengan', 'bunga', 'telur', 'padahl', 'rock', 'jalan', 'versi', 'apa', 'hak', 'harga', 'pintu', 'jalan', 'rumah', 'minum', 'capek', 'terima', 'kasih', 'video', 'depan', 'duduk']",16,Positif
"['iwan', 'banyak', 'telur', 'pasar', 'akn', 'serap', 'butuh', 'libur', 'natal', 'sambung', 'raya', 'imlek', 'harga', 'telur', 'kisar', 'ribu', 'kg', 'ternak', 'kampung', 'tahan', 'pandemi', 'kambuh']",-6,Negatif
"['derita', 'ternak', 'ayam', 'telur', 'pakan', 'mahal', 'harga', 'telur', 'anjlok']",-7,Negatif
"['ali', 'laku', 'usaha', 'integrasi', 'kuasa', 'ayam', 'telur', 'capai', 'persen', 'nasional', 'pasok', 'telur', 'lebih', 'sebab', 'harga', 'telur', 'anjlok', 'september', 'ternak']",14,Positif
"['ratus', 'ternak', 'jawa', 'jawa', 'timur', 'berunjukrasa', 'gedung', 'dpr', 'jakarta', 'massa', 'ternak', 'tuntut', 'perintah', 'solusi', 'kait', 'anjlok', 'harga', 'telur', 'ayam', 'ksc']",-4,Negatif
"['pasok', 'lebih', 'produsen', 'harga', 'telur', 'anjlok', 'pasar', 'lengkap']",2,Positif
"['ternak', 'ayam', 'telur', 'klaten', 'babak', 'bur', 'harga', 'komoditas', 'jagung', 'pakan', 'damping', 'roket', 'sial', 'harga', 'telur', 'pasar', 'harga', 'pokok', 'produksi', 'hpp', 'dampak', 'laku', 'usaha', 'ayam', 'telur', 'gulung', 'tikar']",1,Positif
"['ri', 'hehehehe', 'pas', 'bingung', 'harga', 'minyak', 'mahal', 'iseng', 'alfa', 'pas', 'promo', 'hrg', 'minyak', 'heran', 'hrg', 'minyak', 'lambung', 'saat', 'hrg', 'telor', 'anjlok']",10,Positif
"['ternak', 'harga', 'telur', 'rp', 'kg']",3,Positif
"['harga', 'rendah', 'ternak', 'ayam', 'babak', 'bur', 'perintah', 'borong', 'ribu', 'ton', 'telur']",-8,Negatif
"['jelang', 'maulid', 'nabi', 'harga', 'telur', 'ayam', 'ras', 'rangkak', 'wilayah']",6,Positif
"['pempek', 'radial', 'asli', 'palembang', 'pempek', 'lem', 'telor', 'lenjer', 'ada', 'lenjer', 'kulit', 'paket', 'harga', 'jangkau', 'minat', 'order', 'dm']",17,Positif
"['ngambing', 'hitam', 'harga', 'telur', 'emang', 'nyaman', 'teman', 'kknnya', 'banding']",8,Positif
"['ynwa', 'bang', 'modal', 'trbatas', 'jalanin', 'stik', 'balado', 'telur', 'gabus', 'stik', 'bawang', 'balado', 'jagung', 'manis', 'berat', 'gede', 'rasa', 'harga', 'ribu']",12,Positif
"['nasi', 'bebsambal', 'bykmaybe', 'nampaktimun', 'tebalbukan', 'nipis', 'kertastelur', 'sgtpadanlah', 'hargakl', 'rm', 'telur', 'halusssss']",2,Positif
"['dekat', 'kafe', 'indomie', 'goreng', 'telur', 'harga', 'kafe', 'tipe', 'warmindo']",-3,Negatif
"['harga', 'lauk', 'telur', 'mahal', 'lauk', 'babat']",4,Positif
"['spaghetti', 'gede', 'rasa', 'harga', 'porsi', 'anak', 'bikin', 'aglio', 'olio', 'bumbuhya', 'garlic', 'pepper', 'salt', 'celery', 'oregano', 'telur', 'murah', 'ken', 'praktis']",14,Positif
"['new', 'post', 'cabai', 'merah', 'harga', 'telur', 'anjlok', 'has', 'been', 'published', 'baca', 'pesan']",8,Positif
"['harga', 'ayam', 'telur', 'ancuran', 'gin']",1,Positif
"['ternak', 'babak', 'bur', 'balada', 'harga', 'telur', 'temu', 'titik', 'terang']",0,Positif
"['ngobrol', 'bahas', 'anjlok', 'harga', 'telur', 'dinosaurus']",2,Positif
"['harga', 'telur', 'bandar', 'lampung', 'anjlok']",-5,Negatif
"['harga', 'telur', 'pasar', 'bandar', 'lampung', 'alami', 'turun', 'rp', 'kilogram', 'dagang', 'harga', 'telur', 'turun']",1,Positif
"['cabai', 'merah', 'rangkak', 'pasar', 'dki', 'jakarta', 'harga', 'telur', 'anjlok']",3,Positif
"['harga', 'emg', 'harga', 'telur', 'turun', 'biaya', 'pakan', 'nutup', 'biaya', 'pakan', 'mampus']",-3,Negatif
"['harga', 'telur', 'anjlok', 'riza', 'prihatin', 'nasib', 'ternak', 'via', 'coid', 'kda']",-1,Negatif
"['tuntut', 'stabil', 'harga', 'telur', 'ternak', 'daerah', 'demo', 'dpr', 'ri', 'lengkap']",2,Positif
"['telor', 'gulung', 'enak', 'beli', 'gulung', 'tipisya', 'tidak', 'apa', 'wajar', 'harga']",16,Positif
"['ternak', 'unggas', 'demo', 'harap', 'harga', 'ayam', 'hidup', 'telur', 'sesuai', 'acu', 'perintah']",0,Positif
"['harga', 'telur', 'ayam', 'pasar', 'turun', 'ternak', 'babak', 'bur', 'turun', 'jalan', 'aksi', 'jakarta']",1,Positif
"['samara', 'mobil', 'van', 'tua', 'pakai', 'sedia', 'jasa', 'usir', 'hama', 'hasil', 'sewa', 'reyhan', 'keluh', 'harga', 'bawel', 'banget', 'sumpah', 'seru', 'samara', 'banyak', 'makan', 'nasi', 'telor', 'padang']",13,Positif
"['harga', 'telur', 'anjlok', 'peternakmahasiswa', 'aksi', 'damai', 'perintah', 'serap', 'ribu', 'ton']",-1,Negatif
"['harga', 'telur', 'ayam', 'pasar', 'turun', 'ternak', 'babak', 'bur', 'turun', 'jalan', 'aksi', 'jakarta']",1,Positif
"['juboharga', 'ayam', 'telur', 'pn', 'xblh', 'kawal', 'harga', 'ayam', 'thai', 'jugak', 'kekal', 'pkp']",3,Positif
"['komoditas', 'alami', 'turun', 'harga', 'telur', 'ayam', 'broiler', 'cabe', 'merah', 'keriting', 'cabe', 'merah', 'cabe', 'rawit', 'hijau', 'cabe', 'rawit', 'merah']",6,Positif
"['stabil', 'hukum', 'ekonomi', 'akn', 'laku', 'ternak', 'dada', 'mati', 'ayam', 'kurang', 'mk', 'butuh', 'pakan', 'kurang', 'harga', 'pakan', 'turun', 'daging', 'ayam', 'telur', 'kurang', 'butuh', 'mk', 'harga', 'daging', 'telur', 'stabil']",-7,Negatif
"['malam', 'beli', 'goreng', 'telur', 'rebus', 'paru', 'rm', 'beli', 'rm', 'niaga', 'suka', 'suka', 'hati', 'hati', 'letak', 'harga', 'ye']",17,Positif
"['segar', 'produksi', 'ternak', 'ayam', 'biar', 'mati', 'pakan', 'idem', 'ternak', 'rugi', 'pakan', 'mk', 'harga', 'pakan', 'stabil', 'harga', 'sesuai', 'butuh', 'suplai', 'suplai', 'butuh', 'daging', 'telur']",6,Positif
"['panik', 'harga', 'telur', 'murah', 'tanda', 'sembilan', 'bahan', 'pokok', 'naikpikiran', 'sarap', 'pagi', 'nasi', 'padang', 'harga', 'ribu', 'lagitrus', 'goreng', 'ribu', 'bonus']",14,Positif
"['harga', 'telor', 'rendah', 'harga', 'daging']",-1,Negatif
"['ternak', 'mk', 'butuh', 'pakan', 'tingkat', 'sdgkan', 'butuh', 'daging', 'telur', 'tingkat', 'raya', 'agama', 'serap', 'daging', 'telur', 'batas', 'wajar', 'harga', 'pakan', 'ternak', 'ayam', 'sdgkan', 'harga', 'daging', 'telur']",-13,Negatif
"['negarapemerintah', 'hadir', 'harga', 'telur', 'hasil', 'produksi', 'jatuh', 'harga', 'tetap', 'perintah', 'kh', 'anwar', 'abbas']",13,Positif
"['harga', 'telur', 'ayam', 'pasar', 'turun', 'ternak', 'babak', 'bur', 'turun', 'jalan', 'aksi', 'jakarta']",1,Positif
"['juang', 'rekanrekan', 'ternak', 'ayam', 'layer', 'selasa', 'oktober', 'harga', 'telur', 'angka', 'rbkg', 'tingkat', 'ternak', 'turun', 'harga', 'pakan', 'naik', 'harga', 'telur']",13,Positif
"['ratus', 'ternak', 'serta', 'bem', 'universitas', 'gelar', 'aksi', 'damai', 'lokasi', 'tuntut', 'naik', 'harga', 'telur', 'iring', 'harga', 'telur', 'kian', 'anjlok', 'tingkat', 'ternak']",7,Positif
"['harga', 'telur', 'turun', 'sosis', 'harga', 'susu', 'turun', 'kadrun', 'konotasi', 'lgs', 'selangkang', 'harga', 'telur', 'ayam', 'pasar', 'turun', 'ternak', 'babak', 'bur', 'turun', 'jalan', 'aksi', 'jakarta']",2,Positif
"['beli', 'lontong', 'kari', 'rebu', 'beli', 'grab', 'harga', 'ribu', 'worth', 'kuah', 'beneran', 'kari', 'kentel', 'teu', 'cawrang', 'toppingnya', 'suwir', 'ayam', 'telur', 'rebus', 'emping', 'pangsit', 'kerupuk', 'pink', 'busui', 'bahagia']",13,Positif
"['harga', 'telur', 'ayam', 'pasar', 'turun', 'ternak', 'babak', 'bur', 'turun', 'jalan', 'aksi', 'jakarta']",1,Positif
"['harga', 'telur', 'pasar', 'rbrb', 'normal', 'harga', 'rbrb', 'tukang', 'kueh', 'belanja', 'telur', 'jujur', 'bahagia', 'hrg', 'telur', 'smurah', 'mikir', 'jual', 'kue', 'ttp', 'harga', 'segitu', 'untung', 'ternak', 'telur']",21,Positif
"['bandung', 'oktober', 'kirim', 'harga', 'telur', 'blitar', 'terima', 'kota', 'bandung', 'harga', 'rp', 'sekian', 'terimakasih']",12,Positif
"['harga', 'daging', 'ayam', 'telur', 'anjlok', 'akibat', 'daya', 'beli', 'letoi', 'tani', 'demo', 'manamana']",-5,Negatif
"['makan', 'harga', 'telur', 'super', 'murah', 'urus', 'stabilitas', 'harga', 'sulit', 'indonesia']",15,Positif
"['ternak', 'demo', 'harga', 'telur', 'anjlok', 'anggia', 'erma', 'rini', 'perintah', 'evaluasi', 'tata', 'bijak', 'terna', 'wwwmaduraexposecom']",0,Positif
"['ye', 'orang', 'kaya', 'harga', 'indomie', 'telor', 'es', 'kakak', 'perempuan']",5,Positif
"['pempek', 'radial', 'asli', 'palembang', 'pempek', 'lem', 'telor', 'lenjer', 'ada', 'lenjer', 'kulit', 'paket', 'harga', 'jangkau', 'minat', 'order', 'dm']",17,Positif
"['dilema', 'harga', 'nasi', 'lemak', 'telur']",0,Positif
"['harga', 'telur', 'ayam', 'kilo', 'nawar']",1,Positif
"['harga', 'nasi', 'bungkus', 'filem', 'sudirman', 'lakon', 'rm', 'lauk', 'ikan', 'sayur', 'telur', 'murah', 'yall', 'ringgit']",9,Positif
