"score","text","klasifikasi"
-1,"gonjangganjing telur ayam selesai ternak fasilitas harga jagung rp kg selesai akar masalah baca artikel suara merdeka ironi telur jagung","Negatif"
0,"ternak demo harga ayam telur tan pasti ricuh","Netral"
1,"kosambi oktober kirim harga telur blitar terima kota kosambi harga rp sekian terimakasih","Positif"
0,"harga telur gulung","Netral"
0,"harga telur gulung","Netral"
0,"harga telor daging ayam turunkok harga benang kurun minggu gaezzwat","Netral"
-5,"lupa bayar sekolah uang buku uang seragam uang study ongkos nilai anak jelek harga bawang harga telor lambung remeh temeh kadang rumah asa medan perang tegang bossss","Negatif"
1,"distributor telor ayam harga bagus kirim jabodetabek jabodetabek","Positif"
-1,"tan ricuh demo ternak unggas mandiri kait harga jual ayam telur anjlok harga produksi","Negatif"
0,"ternak ayam ternak ayam telur kabupaten boyolali jawa keluh harga telur anjlok harga pakan paksa jual ternak ayam biaya operasional jangkau","Netral"
-1,"harga telur ayam rendah dagang harap lekas normal","Negatif"
0,"nasi putih potong telur dadar kuah ayam masak merah kuah daging salai rm soal harga potong telur dadar","Netral"
0,"milk frother hand mixer mini elektric whisk kocok telur elektrik milkshake kopi harga link","Netral"
0,"acq better beater kocok telur adon otomatis harga link","Netral"
1,"pempek radial asli palembang pempek lem telor lenjer ada lenjer kulit paket harga jangkau minat order dm","Positif"
0,"harga telor nurun","Netral"
0,"beli gok ayam dh beras ngn telur agiharga nokharom","Netral"
1,"bahagia simpel harga telur kilo murah promo margarin","Positif"
0,"harga telur jeblok ternak ayam telur boyolali gulung tikar","Netral"
-1,"guis open order ekado isi telur puyuh balut daging ayam isi mozarella harga kpack pcs dom malang ongkos kirim via orens dm","Negatif"
-1,"fess open order ekado isi telur puyuh balut daging ayam isi mozarella harga kpack pcs dom malang mesan dm","Negatif"
0,"gpmt hadir rapat kait harga pakan telur live bird ada satgas pangan tanggal september virtual zoom meetings","Netral"
-1,"gila harga minyak skrng mahal telur tempat","Negatif"
-1,"rek nasi pecelnasi campur pakai telor utuh harga pict murah mahal murah rumah wilayah kota datengin kedai singgah makan batok raya gratis kopi hitam air aqua","Negatif"
-1,"harga ayam cecah rmkg harga minyak masak ari mmg dh telur papan rm crite sikit mcm nak simpan harga bareng cekik darah","Negatif"
0,"jual telur kampung arab harga murah area prambanan jogja perpcs dm","Netral"
2,"id harga paket nasi goreng parahyangan beda bangunkarta taksaka mahal bangunkarta emas cantik bangunkarta telor sengaja senjang sosial kereta jalan","Positif"
1,"jakarta oktober kirim harga telur blitar terima kota dki harga rp sekian terimakasih","Positif"
-1,"bekas oktober kirim harga telur blitar terima kota bekas harga rp sekian terimakasih","Negatif"
0,"jagung pakan mahal ehhhharga telur murah","Netral"
0,"harga telor anjlok jawa kirim jawa harga normal mahal cuaca buruk kapal rintis","Netral"
1,"new post harga telur murah kerupuk jelas wamentan harvick has been published baca pesan","Positif"
-1,"harga telur anjlok dompet dhuafa foz gelar aksi gera beli telur magetan","Negatif"
0,"nasi balap puyung timur pom bensin babarsari harga lengkap menu lombok suwir ayam telur kentang mustofa kacang pakai cocok","Netral"
-1,"malang selatan emang ngebanting banget harga telur murah sayur","Negatif"
1,"ternak tolong beda usaha breeding farm bf regulasi batas telur tetas telur infertil telur sengaja tetas harga doc murah batas cutting nyata tembus mana","Positif"
0,"sekjen ahmad muzani perintah turun harga telur gerindra gerindrareses tetapkerja darirakyat kerjautkrakyat indonesiaraya utkrakyat","Netral"
-1,"perintah turun tangan harga telur ayam anjlok gerindra gerindrareses tetapkerja darirakyat kerjautkrakyat indonesiaraya utkrakyat","Negatif"
-1,"harga telur anjlok perintah bantu ternak gerindra gerindrareses tetapkerja darirakyat kerjautkrakyat indonesiaraya utkrakyat","Negatif"
-1,"ku duga pecah telor lazada sm seventeen moga printilan harga murmerrr pas name seventeen lazada happiness ambassadors","Negatif"
0,"diitung detail harga beras kepake nasi harga nori harga sosis telor dan lain pokok bahan minyak bumbu dapur gas hitung nentuin harga","Netral"
-1,"know pegang kandang yak harga telur hancur pengaruh dapat gaji","Negatif"
0,"skali prlu main daerah kaget nemu bakso isi telur harga nasi rames pecel","Netral"
0,"harga sembilan bahan pokok ibuibu harga telur rp kg cabai rawit hijau turun rp","Netral"
-1,"ktnya harga telor jatuh tingkat ternak","Negatif"
0,"harga telur murah harga kerupuk jelas wamentan marufamin","Netral"
-1,"nderharga telor titik rendah jual kmrin","Negatif"
0,"harga jual telur baik curah hati ternak ancam bangkrut","Netral"
0,"yang lain kabar harga telur kabar ternak","Netral"
0,"rri selslu menyisrkan harga telur turun harga kacang jepit","Netral"
-1,"harga telur anjlok ketua golkar jatim pabrik pakan ternak","Negatif"
1,"pempek radial asli palembang pempek lem telor lenjer ada lenjer kulit paket harga jangkau minat order dm","Positif"
1,"maaf salfok dom telur ngebanting banget beli peti harga kilo which means butir ribu","Positif"
1,"telur diginiin asa makan makan mewah rasanyaa sedih beli telor mbak jual harga telur mahal adik kasih bonus","Positif"
0,"harga telur anjlok industri olah yakin solusi","Netral"
1,"hukum equilibrium supply demand natural pengaruh hatching egg hetelur tetas bibit lonjak angka supply konsekuensi harga turun ideal lebih hancur praktek perush breeding","Positif"
0,"telur asin alamat tujuanharga magersari","Netral"
0,"harga telor turun rbkg","Netral"
1,"fess favorit banget basgor jaman tk harga tusuk perak beli tusuk plus goreng campur telur syedaaap hiks kangen terkhir beli skitar","Positif"
0,"emang cocok lidah makanmakanan model ginian mie instan make telor harga mati","Netral"
-1,"ppkm kemarin harga telur anjlok banget papan isi butir harga dulunya alias ribu butir","Negatif"
2,"ri tolong bijan stabil harga telur harga pakan tolong dengar suara suara butuh pilih sibuk kaya","Positif"
1,"dipikirpikir ngedoain lebih baik doa harga telur normal","Positif"
-1,"fess open order ekado isi telur puyuh balut daging ayam isi mozarella harga kpack pcs dom malang mesan dm","Negatif"
-1,"guis open order ekado isi telur puyuh balut daging ayam isi mozarella harga kpack pcs dom malang ongkos kirim via orens dm","Negatif"
-1,"presiden jokowi menteri sya gejolak harga telurdaging ayam ulang akar bongkar over produksi regulasi timpang batas integrator rantai dinginekspor ternak rantai segar","Negatif"
-2,"nasi kuning namribu nasi kuning pakai telor sepuluribu harga telor bandung patribu itb","Negatif"
1,"rumah duduk pintu gamau heran dengan bunga telur padahl rock jalan versi apa hak harga pintu jalan rumah minum capek terima kasih video depan duduk","Positif"
1,"iwan banyak telur pasar akn serap butuh libur natal sambung raya imlek harga telur kisar ribu kg ternak kampung tahan pandemi kambuh","Positif"
-2,"derita ternak ayam telur pakan mahal harga telur anjlok","Negatif"
0,"ali laku usaha integrasi kuasa ayam telur capai persen nasional pasok telur lebih sebab harga telur anjlok september ternak","Netral"
1,"ratus ternak jawa jawa timur berunjukrasa gedung dpr jakarta massa ternak tuntut perintah solusi kait anjlok harga telur ayam ksc","Positif"
-2,"pasok lebih produsen harga telur anjlok pasar lengkap","Negatif"
-1,"ternak ayam telur klaten babak bur harga komoditas jagung pakan damping roket sial harga telur pasar harga pokok produksi hpp dampak laku usaha ayam telur gulung tikar","Negatif"
-1,"ri hehehehe pas bingung harga minyak mahal iseng alfa pas promo hrg minyak heran hrg minyak lambung saat hrg telor anjlok","Negatif"
0,"ternak harga telur rp kg","Netral"
-1,"harga rendah ternak ayam babak bur perintah borong ribu ton telur","Negatif"
0,"jelang maulid nabi harga telur ayam ras rangkak wilayah","Netral"
1,"pempek radial asli palembang pempek lem telor lenjer ada lenjer kulit paket harga jangkau minat order dm","Positif"
0,"ngambing hitam harga telur emang nyaman teman kknnya banding","Netral"
0,"ynwa bang modal trbatas jalanin stik balado telur gabus stik bawang balado jagung manis berat gede rasa harga ribu","Netral"
0,"nasi bebsambal bykmaybe nampaktimun tebalbukan nipis kertastelur sgtpadanlah hargakl rm telur halusssss","Netral"
-1,"dekat kafe indomie goreng telur harga kafe tipe warmindo","Negatif"
0,"harga lauk telur mahal lauk babat","Netral"
0,"spaghetti gede rasa harga porsi anak bikin aglio olio bumbuhya garlic pepper salt celery oregano telur murah ken praktis","Netral"
0,"new post cabai merah harga telur anjlok has been published baca pesan","Netral"
0,"harga ayam telur ancuran gin","Netral"
1,"ternak babak bur balada harga telur temu titik terang","Positif"
-2,"ngobrol bahas anjlok harga telur dinosaurus","Negatif"
-1,"harga telur bandar lampung anjlok","Negatif"
0,"harga telur pasar bandar lampung alami turun rp kilogram dagang harga telur turun","Netral"
-1,"cabai merah rangkak pasar dki jakarta harga telur anjlok","Negatif"
0,"harga emg harga telur turun biaya pakan nutup biaya pakan mampus","Netral"
-1,"harga telur anjlok riza prihatin nasib ternak via coid kda","Negatif"
0,"tuntut stabil harga telur ternak daerah demo dpr ri lengkap","Netral"
0,"telor gulung enak beli gulung tipisya tidak apa wajar harga","Netral"
1,"ternak unggas demo harap harga ayam hidup telur sesuai acu perintah","Positif"
0,"harga telur ayam pasar turun ternak babak bur turun jalan aksi jakarta","Netral"
0,"samara mobil van tua pakai sedia jasa usir hama hasil sewa reyhan keluh harga bawel banget sumpah seru samara banyak makan nasi telor padang","Netral"
0,"harga telur anjlok peternakmahasiswa aksi damai perintah serap ribu ton","Netral"
0,"harga telur ayam pasar turun ternak babak bur turun jalan aksi jakarta","Netral"
1,"juboharga ayam telur pn xblh kawal harga ayam thai jugak kekal pkp","Positif"
0,"komoditas alami turun harga telur ayam broiler cabe merah keriting cabe merah cabe rawit hijau cabe rawit merah","Netral"
-2,"stabil hukum ekonomi akn laku ternak dada mati ayam kurang mk butuh pakan kurang harga pakan turun daging ayam telur kurang butuh mk harga daging telur stabil","Negatif"
1,"malam beli goreng telur rebus paru rm beli rm niaga suka suka hati hati letak harga ye","Positif"
1,"segar produksi ternak ayam biar mati pakan idem ternak rugi pakan mk harga pakan stabil harga sesuai butuh suplai suplai butuh daging telur","Positif"
0,"panik harga telur murah tanda sembilan bahan pokok naikpikiran sarap pagi nasi padang harga ribu lagitrus goreng ribu bonus","Netral"
-1,"harga telor rendah harga daging","Negatif"
0,"ternak mk butuh pakan tingkat sdgkan butuh daging telur tingkat raya agama serap daging telur batas wajar harga pakan ternak ayam sdgkan harga daging telur","Netral"
0,"negarapemerintah hadir harga telur hasil produksi jatuh harga tetap perintah kh anwar abbas","Netral"
0,"harga telur ayam pasar turun ternak babak bur turun jalan aksi jakarta","Netral"
0,"juang rekanrekan ternak ayam layer selasa oktober harga telur angka rbkg tingkat ternak turun harga pakan naik harga telur","Netral"
0,"ratus ternak serta bem universitas gelar aksi damai lokasi tuntut naik harga telur iring harga telur kian anjlok tingkat ternak","Netral"
0,"harga telur turun sosis harga susu turun kadrun konotasi lgs selangkang harga telur ayam pasar turun ternak babak bur turun jalan aksi jakarta","Netral"
1,"beli lontong kari rebu beli grab harga ribu worth kuah beneran kari kentel teu cawrang toppingnya suwir ayam telur rebus emping pangsit kerupuk pink busui bahagia","Positif"
0,"harga telur ayam pasar turun ternak babak bur turun jalan aksi jakarta","Netral"
3,"harga telur pasar rbrb normal harga rbrb tukang kueh belanja telur jujur bahagia hrg telur smurah mikir jual kue ttp harga segitu untung ternak telur","Positif"
1,"bandung oktober kirim harga telur blitar terima kota bandung harga rp sekian terimakasih","Positif"
-1,"harga daging ayam telur anjlok akibat daya beli letoi tani demo manamana","Negatif"
2,"makan harga telur super murah urus stabilitas harga sulit indonesia","Positif"
0,"ternak demo harga telur anjlok anggia erma rini perintah evaluasi tata bijak terna wwwmaduraexposecom","Netral"
1,"ye orang kaya harga indomie telor es kakak perempuan","Positif"
1,"pempek radial asli palembang pempek lem telor lenjer ada lenjer kulit paket harga jangkau minat order dm","Positif"
-2,"dilema harga nasi lemak telur","Negatif"
0,"harga telur ayam kilo nawar","Netral"
0,"harga nasi bungkus filem sudirman lakon rm lauk ikan sayur telur murah yall ringgit","Netral"
0,"ratus ternak ayam itik badan eksekutif mahasiswa bem universitas gelar aksi damai lokasi tuntut naik harga telur anjlok harga telur tingkat ternak","Netral"
0,"harga telur murah usaha integrator pelihara ayam telur juta akibat over suplai ternak rakyat tanggung akibatny over suplai harga telur murah","Netral"
0,"kpikiran harga telorlagi murah banget neng telor murah minggu ngabisin kg telor ternak telor kondisi","Netral"
1,"harga telur ayam turun garagara lebih pasok tanggap perintah serap telur salur bantu sosial bansos","Positif"
0,"protes harga telur anjlok ratus ternak jawa jawa timur unjuk gedung dpr jakarta murah harga telur ayam rp kilogram ancam usaha cen","Netral"
-1,"ratus ternak anggota koperasi masyarakat adu dpr ri rugi derita akibat turun harga telur nnn","Negatif"
0,"tinggal pakan ternak subsidi ternak ternak rugi harga telur murah perintah mau atur harga pakan ternak murah","Netral"
-1,"pprn anjlok harga telur imbas oversupply","Negatif"
0,"hoo jawa sumatra berat sempat sulawesi kalimantan malu papua ternak telur harga untung","Netral"
1,"survey lingkung adik bem harga telur daging ayam kondisi stabil smart","Positif"
0,"dengar langkah taktis strategis menteri tani harga telor opung lbp urus","Netral"
-1,"tv kmrin harga telor anjlok usaha ayam telor","Negatif"
-2,"jalan keluar naikin harga telur ayam level kg konsumen rangin supply sulit invest kandang mahal naikin demand butuh bisul makan telor butir hari","Negatif"
0,"atas harga charoen pokphand cpin beli telur ternak","Netral"
0,"atas harga charoen pokphand cpin beli telur ternak","Netral"
1,"bijak stabilisasi harga ayam telur maksimal","Positif"
-1,"merhatiin harga telur tante jual minyak goreng minyak","Negatif"
2,"perintah kaji bijak stabilitas harga telur","Positif"
-5,"kesan inflasi harga nasi lemak telur rm rm rm inflasi curi kaya senyap simpan duit bank sahaja labur simpan lawan inflasi inflasi utama labur","Negatif"
-1,"harga telur rendah petanipeternak skala tinggal usaha baru harga telur langit korporasi main","Negatif"
0,"ternak demo dpr naik harga telur viral","Netral"
0,"beli minyak perhati harga beda telur harga ribu banget","Netral"
0,"harga telur main tengkulak","Netral"
0,"harga telur turun minyak","Netral"
0,"ribu beli telur ayam hemat download aplikasi playstore appstore tambah kode patriot hegarceea beli hemat butuh telur ayam keluarga harga ribu penuh butuh protein","Netral"
-1,"kaget harga pas harga telur awalawal anjlok bu pas beli nanyain kasir beneran cuman ribu saking murah banget harga ribu","Negatif"
0,"jlkeluarnya tetap harga dasar minimum telur tk ternak rugi","Netral"
-1,"kepala dinakikan blora gundala wejasena turun harga telur ranah perintah pusat mengat","Negatif"
-1,"situasi waspada harga telur rendah","Negatif"
1,"cah harga telur aplikasi web info","Positif"
-1,"harga telur kandang magetan sebelas oktober limabelas tigaratus","Negatif"
-1,"ternak mahasiswa demo kendali harga telur anjlok","Negatif"
0,"harga telur murah kendali produk bahan pakan ayam rantai","Netral"
0,"pantau pusat kaji tani pangan advokasi pataka harga telur capai rp kilogram biang kerok","Netral"
1,"pataka perintah kaji bijak stabilisasi harga ayamtelur","Positif"
0,"pantau pusat kaji tani pangan advokasi pataka harga telur capai rp kilogram biang kerok","Netral"
-1,"harga telur anjlok ternak gelar unjuk jakarta","Negatif"
-1,"guis open order ekado isi telur puyuh balut daging ayam isi mozarella harga kpack pcs dom malang ongkos kirim via orens dm","Negatif"
-1,"dilema harga telur ayam murah wamentan satukesatuan","Negatif"
0,"ternak mandiri gabung pprn gelar demonstrasi tan tuntut naik harga telurpakan","Netral"
1,"turun harga telur daging hasil perintah makmur rakyat","Positif"
1,"gelar aksi damai ternak telur harga rp kilogram","Positif"
1,"ribu ternak ayam jawa timur datang jakarta gelar aksi tuntut harga telur peran perintah","Positif"
-1,"gedung dpr digeruduk ribu ternak ayam tuntut harga telor anjlok harga pakan siksa","Negatif"
0,"pantau pusat kaji tani pangan advokasi pataka harga telur capai rp kilogram kg harga harga acu telur permendag rp kg","Netral"
-2,"harga telur merosot ratus ternak ayam demo gedung dpr ri saksi lengkap","Negatif"
-1,"beli telur smlm geleng kepala tgok harga telur xde harga","Negatif"
0,"foto tuntut naik harga telur ternak ayam demo gedung dpr","Netral"
1,"harga telor ayam unggas tutup biaya operasional ternak menang","Positif"
1,"ternak kemendag naik harga telur sesuai harga acu permendag","Positif"
-1,"harga ayam telur anjlok ternak unggas demo jakarta via","Negatif"
0,"kayak supermarket harga telur segitu","Netral"
-2,"ratus ternak unjuk tuntut perintah atas turun harga telur demo suara jatuh harga telur akibat imbang pasok ternak rugi juli","Negatif"
1,"mahasiswa dukung aksi ternak stabil harga telur monas jakarta senin","Positif"
0,"panci telur elektrik rebus telur harga rprp link","Netral"
0,"harga telur anjlok ternak mahasiswa gelar aksi damai","Netral"
0,"harga telur anjlok ternak unggas mandiri rencana aksi damai jakarta","Netral"
3,"pas harga indomie gamau nyemilin lebih baik beli telor terima kasih","Positif"
-1,"harga ayam telur anjlok ternak unggas demo jakarta","Negatif"
0,"tien buka lumpia khas tien pakai kulit premium isi ayam udang ebi bengkoang telur kirim kamis okt harga ongkos kirim isi menu catering tien kirim pakai kurir instant kpambon pulomas","Netral"
0,"harga telur anjlok ternak unggas mandiri rencana aksi damai jakarta","Netral"
-3,"aksi protes ternak rakyat broiler lepas anjlok harga livebird ayam hidup telur konsumsi ayam layer","Negatif"
-2,"ternak ayam daerah deret aksi jakarta ternak protes harga telur ayam turun rugi","Negatif"
-1,"ratus ternak demonstrasi gedung parlemen mprdprdpd senayan jakarta lantar anjlok harga telur tingkat ternak capai rp rpkg harga pokok produksi hpp kisar rpkg","Negatif"
-1,"ratus ternak bagi telur ayam guna jalan gedung dpr jakarta senin siang aksi bentuk protes merosot harga telur banding harga pakan ayam","Negatif"
1,"new post harga telur rp ribu kilo ratus ternak turun jalan has been published baca pesan","Positif"
-2,"aliansi bem rakyat gelar demonstrasi protes harga telur daging anggap rugi ternak","Negatif"
0,"konsumen neng harga telor ayam rebu kilo ternak menang darah ayo perintah operasi pasar","Netral"
-2,"aliansi bem rakyat gelar demonstrasi protes harga telur daging anggap rugi ternak","Negatif"
-1,"tekan harga telur anjlok ternak daerah jakarta demo usaha unggas","Negatif"
-1,"ternak unggas demo harga ayam telur anjlok","Negatif"
-1,"aksi anjlok harga telur tingkat ternak","Negatif"
-1,"harga telur anjlok ternak mahasiswa gelar aksidamai","Negatif"
-1,"harga telur anjlok ternak mahasiswa gelar aksidamai","Negatif"
0,"harga telur anjlok ternak mahasiswa gelar aksi damai jakarta ratus ternak ayam itik badan eksekutif mahasiswa bem universitas","Netral"
0,"manajemen charoen pokphand indonesia agus beli telur rp harga pasar minggu","Netral"
0,"foto aksi ternak dpr rem turun harga telur","Netral"
0,"gabung elemen mahasiswa bem jakarta gelar aksi darurat unggas nasional turun jalan tuntut stabil harga ayam telur ternak rakyat mandiri","Netral"
0,"ratus ternak ayam itik badan eksekutif mahasiswa bem universitas gelar aksi damai lokasi tuntut naik harga telur anjlok harga telur tingkat ternak","Netral"
-1,"prihatin harga telur kian tipis dagang makinmiris","Negatif"
1,"harga ayam hidup telur harap sesuai acu perintah rp ribu kg","Positif"
1,"usaha industri ayam telur ayam tuju kerjasama harga ayam telur pasar negara tentu munasabah semangat keluarga malaysia sejahtera rakyat","Positif"
1,"pempek radial asli palembang pempek lem telor lenjer ada lenjer kulit paket harga jangkau minat order dm","Positif"
0,"harga ayam harga telur benda risau menteri fokus video animasi upin ipin kos menteri tanggung duit rakyat","Netral"
0,"citra indah city bingung makan beli cuma miscall telur asin harga rebu beuuh mantap","Netral"
-1,"harga telur anjlok ternak perintah beli telur ton","Negatif"
-1,"harga telur anjlok ternak perintah beli telur ton hari","Negatif"
0,"harga beras liter minyak telor bbm pertamax","Netral"
0,"kasi perintah harga telur masyarakat teriak harga telur turun ternak teriakterus mau","Netral"
0,"harga telur murah","Netral"
1,"ku menang harga telur kian tipis dagang miris","Positif"
0,"moga harga jual telor masyarakat","Netral"
-1,"miris denger kabar blitar harga telur ayam ternak rpkg harga segitu tutup biaya produksi gila","Negatif"
-1,"harga telur anjlok ternak mahasiswa gelar aksidamai","Negatif"
-1,"biaya pakan roket harga telur anjlok","Negatif"
0,"ratus ternak ayam itik bem universitas gelar aksi damai lokasi tuntut naik harga telur anjlok harga telur tingkat ternak","Netral"
-2,"stok limpah harga telur anjlok cilacap rendah rp kg","Negatif"
-3,"hemat perintah ambil langkah tampung telor pabrikan pakan komersil farm harga terendahpasar kurang suply bawah alas perintah tindak","Negatif"
0,"daerah jawa jogja harga makan murah teman wilayah beli nasi goreng telor bayar ribu","Netral"
-1,"harga ayam telur hancur banget sekrang harga pakan gilaaa mahal capek","Negatif"
-1,"dasar pantau harga pasar rakyat kota bandung harga ratarata butuh pokok senin oktober komoditas alami naik harga minyak goreng kemasancurah telur ayam broiler cabe merah keriting","Negatif"
1,"amltf monggo order cemilan ringan bang order bagi anak skitar rumah panti harga ribu stik balado telor gabusny domisili jakarta","Positif"
2,"belanja ayam telur tanihub harga hemat pes praktis aman jadi senin hemat promo baik tanihub sk laku region jabodetabek","Positif"
-1,"ribu beli telur ayam hemat senin beli hemat butuh telur ayam keluarga harga ribu penuh butuh protein hemat sk laku region jabodetabek","Negatif"
1,"pempek radial asli palembang pempek lem telor lenjer ada lenjer kulit paket harga jangkau minat order dm","Positif"
-1,"harga jual telur anjlok harga pakan roket ternak ayam klaten jerit","Negatif"
1,"asli buka usaha bahan komoditinya telor neng harga telor turun berita miriss kasi ternak","Positif"
-1,"harga telor anjlok banget","Negatif"
0,"standar enak kerak telor istiqlal cobain lumayan kering pas nasi keras serundeng ebi asin harga porsi alias dikit","Netral"
1,"tolong makam proklamator blitar ppkm level urus formula zona merah mending urus ternak ayam butuh bantu stabil harga telor","Positif"
1,"harga pelet lele roket ternak nglipar manfaat cangkang telur","Positif"
2,"sad food beli telor gulung shopeefood gede gni harga lumayan tusuk untung pakw promo harga normal ngedumel guis","Positif"
0,"kuwi harga telor jal","Netral"
1,"id harap teman ternak ayam jerit partai urun beli telur ternak harga sesuai ekonomi ternak","Positif"
1,"surabaya oktober kirim harga telur blitar terima kota surabaya harga rp sekian terimakasih","Positif"
1,"bandung oktober kirim harga telur blitar terima kota bandung harga rp sekian terimakasih","Positif"
1,"bandung oktober kirim harga telur blitar terima kota bandung harga rp sekian terimakasih","Positif"
1,"purwakarta oktober kirim harga telur blitar terima kota purwakarta harga rp sekian terimakasih","Positif"
-1,"guis open order ekado isi telur puyuh balut daging ayam isi mozarella harga kpack pcs dom malang ongkos kirim via orens dm","Negatif"
0,"nasib ternak ayam klaten gulung tikar harga telur anjlok beli pakan","Netral"
-1,"harga kado buset dibeliim kinderjoy mandi telur kabupaten ngado bingkai foto mundur","Negatif"
-3,"babi nasi lemak harga rm nasi sikit ayam jari telur dadar paruh kad kredit je susah nak niaga elok","Negatif"
0,"harga telur","Netral"
-1,"harga telur anjlok harga pakan","Negatif"
-2,"kios telur langgan buka bulan milik suami istri paruh baya rintis grosir sembilan bahan pokok penuh optimisme seberang minimarket soft opening sembilan bahan pokok harga bawah trenyuh","Negatif"
1,"bumbu rendang pakai rendang daging ayam telor paru dan lain konsumsi isi pertoples gede rasa harga rp toples proses buat kering tahan hangat suhu ruang bahan awet order dm","Positif"
1,"pempek radial asli palembang pempek lem telor lenjer ada lenjer kulit paket harga jangkau minat order dm","Positif"
-3,"kabupaten diri kota diri kabupaten blitar kota blitar saudara laki sis beli telur ayam ternak sumbang panti asuh masyarakat butuh jual harga diskon dagang masyarakat mantap id","Negatif"
2,"minggu prouduk segar tanihub harga telur kerang daging giling aneka produk segar dapat hemat aplikasi tanihub tinggal promonya sk laku region jabodetabek","Positif"
0,"ijin aspirasi ternak harga telur harga pakan mahal tengah pandemi ternak bangkrut peduli tengah ekonomi sulit","Netral"
0,"harga telur murah ibuk masak endooggg teeroosss sampek bisulen","Netral"
1,"sebentar lahir baca ngerasa aneh gaboleh wajar tanyain nengok harga sayur telor","Positif"
-3,"sakit telor dengar harga hoodie nike rm hahahahaha aduhhh gila gila","Negatif"
1,"harga pupuk jangkau panen harga anjlog harga pakan lambung harga telur terjun bebas","Positif"
1,"egg super indo bsd plaza harga telur kilo","Positif"
-1,"fuhh seram harga telur harga makan","Negatif"
0,"mesti harga telur turun bagai ikut telur turun paeas lutut","Netral"
0,"harga telur turun","Netral"
-2,"harga telur ayam turun annuar muso lepas letih berzumba","Negatif"
-1,"sen porsi normal kaget banget beli udang goreng telor asin pas dateng buah udang harga porsi buah udang emang porsi","Negatif"
0,"harga telur kue bolu","Netral"
1,"pempek radial asli palembang pempek lem telor lenjer ada lenjer kulit paket harga jangkau minat order dm","Positif"
